name,email,dob,gender,contact,address,religion,community,minorityStatus,residentialStatus,admissionQuota,country,course,department,yearOfAdmission,Semester 1,Semester 2,Semester 3,Semester 4,Semester 5,Semester 6,Semester 7,Semester 8
Jeffery Petty,samanthafoley@gmail.com,2006-02-16,Female,3576327980,"Unit 9659 Box 0329, DPO AA 71699",Muslim,ST,Non-Minority,Hosteller,7.5 Reservation,Domestic,B.Tech,Information Technology,2022,C,,O,B,B,O,O,O
Carla Jones,pedwards@yahoo.com,2007-04-27,Male,4486469552,"6193 Wendy Prairie Suite 205, Donnaside, AZ 21186",Christian,OBC,Minority,Hosteller,7.5 Reservation,Domestic,B.E,Artificial Intelligence,2023,A+,B,,O,O,O,O,A+
Timothy Mason,jessica54@gmail.com,2005-02-02,Female,4915726306,"645 Isabel Harbors Suite 919, West Brooke, FL 97228",Hindu,ST,Minority,Day Scholar,Sports,Domestic,B.Tech,Information Science and Engineering,2020,B,B,B+,A,B+,B,C,A
Elizabeth Erickson,fostersean@sawyer-smith.com,2002-11-03,Female,2881720479,"1748 Jerome Greens Apt. 126, Warestad, AK 49798",Jain,SC,Minority,Day Scholar,7.5 Reservation,International,B.Tech,Food Technology,2020,A+,,A+,B,B+,,O,B
Joshua Miller,josephmorris@gmail.com,2001-03-10,Female,2060856006,"616 Stephanie Junctions Apt. 063, North Maryview, WY 29077",Sikh,OBC,Non-Minority,Hosteller,7.5 Reservation,Domestic,B.Tech,Information Science and Engineering,2020,O,B+,A,,C,O,A,
Anthony Torres,sanchezbrian@yahoo.com,2007-12-02,Female,0239394958,"6453 Miranda Stream Apt. 865, East Josephchester, WI 68794",Muslim,SC,Non-Minority,Hosteller,7.5 Reservation,International,B.E,Biotechnology,2021,B,,A,C,C,,,O
Donald Morales,lanceoconnor@hotmail.com,2003-08-01,Male,9487403053,"57204 Mitchell Spring Apt. 293, West Stevenfort, ID 72945",Hindu,MBC,Minority,Day Scholar,Sports,Domestic,B.Tech,Fashion Technology,2021,B+,A+,A,A+,A+,A+,A+,A
Jade Hickman,johnsonnatalie@gmail.com,2002-04-11,Female,5304238946,"8611 Wise Knolls Suite 825, Hartburgh, PA 62841",Hindu,SC,Non-Minority,Day Scholar,7.5 Reservation,International,B.E,Fashion Technology,2022,A,,C,C,,O,B,C
Donald Lamb,williammerritt@bailey.com,2007-08-11,Male,5179192738,"PSC 4274, Box 5191, APO AP 24047",Christian,OBC,Non-Minority,Hosteller,7.5 Reservation,International,B.E,Food Technology,2023,B+,,A+,O,C,A,B,
Christine Evans,ryanfernandez@gmail.com,2007-06-25,Male,3161539800,"45356 Corey Prairie, Denniston, MO 41052",Muslim,OBC,Minority,Hosteller,Government,Domestic,B.Tech,Mechanical Engineering,2024,C,A,O,O,B+,O,C,O
Brenda Watts,brendan40@bowen.com,2005-09-12,Female,9458385472,"104 Wilson Corner, East Ryanbury, NE 35591",Sikh,ST,Non-Minority,Hosteller,7.5 Reservation,Domestic,B.E,Fashion Technology,2023,,A+,A+,A+,B+,B,O,B+
Michael Wolf,barnettkelly@white-scott.com,2006-05-24,Female,3962267715,"PSC 7127, Box 4224, APO AE 22110",Sikh,MBC,Minority,Day Scholar,Sports,International,B.Tech,AIML,2023,O,B,B+,,O,B+,C,A+
Shelley Lee,eescobar@yahoo.com,2005-03-16,Female,5202688632,"190 Jenkins Extensions Apt. 583, Garciaview, MT 70211",Hindu,ST,Minority,Day Scholar,Government,Domestic,B.Tech,Computer Science,2023,A+,A,O,A+,A,,O,B
Ashley Nunez,roger57@hines-davis.com,2007-12-01,Male,6187875564,"25863 Harper Turnpike Suite 397, North Jessica, NE 41158",Hindu,ST,Non-Minority,Day Scholar,Sports,Domestic,B.Tech,Information Technology,2024,B+,,C,,A,B+,,O
Joseph Stout,jordancynthia@wiggins.com,2001-05-10,Female,3109754344,"79485 Erin Rue Apt. 586, North Angelafort, MI 91308",Hindu,ST,Non-Minority,Hosteller,7.5 Reservation,Domestic,B.E,Biotechnology,2024,B,B,B,B+,A,B+,A+,
Chad Foster,jacob77@gmail.com,2005-10-16,Female,8139704412,"817 Cummings Square, North Sallyland, AL 64372",Sikh,OBC,Minority,Day Scholar,7.5 Reservation,Domestic,B.E,Mechanical Engineering,2022,,B+,A+,B+,A,O,O,O
Geoffrey Hanson,uowens@hotmail.com,2007-11-28,Male,5955522137,"0137 Robert Freeway, East Sarah, ID 76804",Christian,ST,Non-Minority,Hosteller,Government,Domestic,B.E,Food Technology,2022,B,B,A,O,C,B,B+,
Jennifer Murray,tjenkins@hotmail.com,2005-04-29,Female,6562192954,"8691 Flores Throughway, New Maryville, KY 76519",Muslim,MBC,Non-Minority,Hosteller,Management,International,B.Tech,Information Science and Engineering,2022,B+,C,C,,A,B+,,O
Jessica White DVM,jacksonbenjamin@hotmail.com,2004-05-09,Female,6651918011,"USCGC Ray, FPO AP 07965",Hindu,MBC,Non-Minority,Day Scholar,Government,International,B.E,AIML,2020,B,O,B,C,B+,B,B,B
Tracy Bennett,xferguson@bates-strickland.com,2001-03-23,Male,3059460424,"58923 Johnson Creek Apt. 826, Burgessmouth, ID 97828",Jain,BC,Non-Minority,Day Scholar,7.5 Reservation,Domestic,B.E,Mechanical Engineering,2023,A,A+,C,,O,O,C,
Heather Wilson,icantu@porter-leon.info,2004-10-26,Male,3456562561,"005 Nicholas Radial, Rossview, WY 89036",Sikh,MBC,Non-Minority,Hosteller,Management,International,B.E,Fashion Technology,2024,O,B+,,A+,C,A,A+,A+
Adam Gill,imeza@yahoo.com,2008-01-09,Female,0353974486,"03002 Allen Crossroad Suite 020, Reyesport, SC 91405",Christian,BC,Minority,Hosteller,Management,International,B.Tech,Information Science and Engineering,2023,O,,O,A,A,,B+,A+
Stacie Hughes,elizabethbutler@gmail.com,2000-11-08,Male,6551319481,"697 Kim Stream, Lake Madelineborough, LA 43114",Jain,SC,Non-Minority,Hosteller,Management,International,B.Tech,Food Technology,2020,O,B,O,A+,B,B,C,B+
Rachel Pacheco,nicholasmann@cisneros-wong.com,2006-07-17,Female,1638405167,"679 Gerald Parkways, Lake Joseph, DE 70405",Christian,MBC,Minority,Hosteller,Sports,Domestic,B.Tech,Mechanical Engineering,2022,A,B+,,,B+,A,B,C
Kenneth Barron,kathleen94@petty.info,2005-06-02,Male,6047267327,"Unit 2365 Box 4668, DPO AA 49628",Muslim,SC,Non-Minority,Hosteller,Government,International,B.E,Biotechnology,2020,,C,O,A+,B+,A,O,
Katelyn Mclaughlin,bburns@hill-barker.info,2000-12-13,Male,1617218232,"948 Anthony Locks, Rickchester, NE 53626",Muslim,SC,Minority,Day Scholar,Management,International,B.E,Information Science and Engineering,2020,,B+,C,,B+,,B+,O
Daniel Dixon,stephen72@smith.com,2001-01-26,Male,8845338611,"1760 Christine Overpass Apt. 600, North Cindy, NY 36866",Hindu,ST,Non-Minority,Hosteller,Sports,Domestic,B.E,Electrical Engineering,2024,B+,B+,,A,B,A,A+,C
Marc Fowler,justinevans@miller.info,2001-06-21,Male,5534051991,"69869 James Key Apt. 787, Autumntown, CT 81870",Sikh,BC,Non-Minority,Day Scholar,7.5 Reservation,International,B.Tech,Computer Science,2024,,A,O,B,C,C,B,B+
Brian Jackson,nunezchristopher@gmail.com,2003-08-16,Female,8088281810,"PSC 1315, Box 5473, APO AE 11014",Jain,MBC,Minority,Hosteller,7.5 Reservation,International,B.Tech,Artificial Intelligence,2021,A,O,B+,B,,B,,
